[MM] === BTC 15-min Market Maker ===
[MM] UTC: 2026-03-30 07:53:14.398396+00:00
[MM] size=5.0  cancel=5s  poll=1.0s
[MM] Balance: $0.96
[MM] Balance $0.96 < $5.50, waiting for settlements...
[MM] discovery btc-updown-15m-1774857600: HTTPSConnectionPool(host='gamma-api.polymarket.com', port=443): Read timed out.
[MM] next: Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET in 1263s, sleeping 363s

[MM] ==================================================
[MM] Bitcoin Up or Down - March 30, 4:15AM-4:30AM ET
[MM] start=2026-03-30T08:15:00+00:00  deadline=2026-03-30T08:14:55+00:00
[MM] up=4352110618492235...  dn=3182013476469627...
[MM] Available balance: $15.96
[UP] BUY 5sh @ 0.49  oid=0xbe2d71a18447990262e1db5eafbfe739b07ba32df4dccf65e35b04f710d9e96e
[DN] BUY 5sh @ 0.50  oid=0x53e37d7afb3202e0e3d4617311d6a1d41d83d966126b31685bb1c69b1baf84fb
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 150s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 141s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 140s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 131s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 121s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 111s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 110s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 101s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 91s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 81s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 72s
[MM] bb=0.45 ba=0.46 sp=0.01 | UP=DONE DN=0.51(=0.49) | 71s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 62s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 61s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 52s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 50s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 41s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 40s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 31s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 21s
[MM] bb=0.44 ba=0.45 sp=0.01 | UP=DONE DN=0.51(=0.49) | 11s
[MM] bb=0.36 ba=0.37 sp=0.01 | UP=DONE DN=0.51(=0.49) | 1s
[MM] DEADLINE (4.5s to candle)
[DN] cancelled 0x571a0392c0dd94...
[MM] ONLY UP filled 5.0@0.49, market-buying Down
